,Name,Critic Rating,Critic Numbers,User Rating,User Numbers,Runtime (minutes),Genre,Studio,Box Office
0,Rogue One: A Star Wars Story,0.84,402,0.86,100836,133,"Action & Adventure, Drama, Science Fiction & Fantasy",Walt Disney Pictures,"$532,177,324"
1,Finding Dory,0.94,308,0.84,181198,100,Animation,Walt Disney Pictures/PIXAR,"$486,295,561"
2,Captain America: Civil War,0.91,380,0.89,177272,146,"Action & Adventure, Science Fiction & Fantasy",Walt Disney Pictures,"$408,084,349"
3,The Secret Life of Pets,0.73,216,0.62,82002,90,"Animation, Comedy",Universal Pictures,"$368,384,330"
4,The Jungle Book ,0.95,306,0.86,93943,111,"Action & Adventure, Kids & Family",Walt Disney Pictures,"$364,001,123"
5,Deadpool,0.84,317,0.9,186042,103,"Action & Adventure, Comedy, Science Fiction & Fantasy",20th Century Fox,"$363,070,709"
6,Zootopia,0.97,267,0.92,100393,108,"Action & Adventure, Animation, Comedy",Walt Disney Animation Studios,"$341,268,248"
7,Batman v Superman: Dawn of Justice,0.27,394,0.63,231912,151,"Action & Adventure, Science Fiction & Fantasy",Warner Bros. Pictures,"$330,360,194"
8,Suicide Squad,0.27,348,0.6,143772,123,Action & Adventure,Warner Bros. Pictures,"$325,100,054"
9,Sing,0.46,149,0.47,27902,110,"Comedy, Romance",Warner Bros. Pictures,"$270,395,425"
10,Moana,0.95,260,0.89,68439,103,"Action & Adventure, Animation, Kids & Family",Walt Disney Pictures,"$248,757,044"
11,Fantastic Beasts and Where To Find Them,0.74,309,0.79,86872,132,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Warner Bros. Pictures,"$234,037,575"
12,Doctor Strange,0.89,334,0.86,107808,130,"Action & Adventure, Science Fiction & Fantasy",Walt Disney Pictures,"$232,641,920"
13,Hidden Figures,-,-,-,-,-,-,-,"$169,607,287"
14,Jason Bourne,0.54,299,0.56,56634,123,"Action & Adventure, Drama",Universal,"$162,434,410"
15,Star Trek Beyond,0.85,289,0.8,73978,120,"Action & Adventure, Drama, Science Fiction & Fantasy",Paramount Pictures,"$158,848,340"
16,X-Men: Apocalypse,0.48,316,0.66,126960,136,"Action & Adventure, Science Fiction & Fantasy",20th Century Fox,"$155,442,489"
17,Trolls,0.74,154,0.68,38624,100,"Animation, Kids & Family",DreamWorks Animation,"$153,707,064"
18,La La Land,0.91,410,0.81,69700,128,"Comedy, Drama, Musical & Performing Arts",Liongate Films,"$151,101,803"
19,Kung Fu Panda 3,0.86,167,0.78,99624,94,Animation,DreamWorks Animation,"$143,528,619"
20,Ghostbusters ,0.74,360,0.51,117491,105,"Action & Adventure, Comedy, Science Fiction & Fantasy",Sony Pictures,"$128,350,574"
21,Central Intelligence,0.7,180,0.61,54052,114,"Action & Adventure, Comedy",Warner Bros. Pictures,"$127,440,871"
22,The Legend of Tarzan,0.36,232,0.59,58030,109,Action & Adventure,Lionsgate Pictures,"$126,643,061"
23,Sully,0.85,318,0.84,48108,96,"Action & Adventure, Drama",Warner Bros.,"$125,070,033"
24,Bad Moms,0.58,159,0.63,40886,101,Comedy,Block Entertainment,"$113,257,297"
